invasive,a,,c,d,e,f,g,h,i,j,k,l,m,n,o,p
100,1,0,0,0,0.0001,0.9998,0.0105,-0.0148,0.0056,-0.0153,0.9932,-0.1052,0.0058,0.0042,0.0409,0.9891
100,1,0,0,0,0.0001,0.9998,0.0108,-0.0146,0.0058,-0.0159,0.993,-0.1055,0.0059,0.0043,0.0411,0.989
100,1,0,0,0,0.0001,0.9998,0.0109,-0.0139,0.0039,-0.0159,0.995,-0.1029,0.0063,0.0043,0.0403,0.9886
100,1,0,0,0,0.0001,0.9998,0.0124,-0.0135,0.0051,-0.0146,0.9938,-0.1045,0.006,0.0043,0.0405,0.9888
100,1,0,0,0,0.0001,0.9998,0.0104,-0.0145,0.0055,-0.0158,0.9933,-0.1044,0.0062,0.0039,0.0407,0.9887
300,1,0,0,0,0.0001,0.9998,0.0123,-0.0133,0.0064,-0.0165,0.9924,-0.1049,0.0057,0.0041,0.04,0.9892
300,1,0,0,0,0.0001,0.9997,0.0115,-0.0146,0.0058,-0.018,0.993,-0.1062,0.0061,0.0042,0.0403,0.9887
300,1,0,0,0,0.0001,0.9998,0.0117,-0.0138,0.006,-0.0163,0.9928,-0.1051,0.0061,0.004,0.0398,0.9888
300,1,0,0,0,0.0001,0.9998,0.013,-0.0143,0.0047,-0.0144,0.9941,-0.1035,0.0062,0.004,0.0398,0.9888
300,1,0,0,0,0.0001,0.9998,0.013,-0.0144,0.0059,-0.0153,0.9928,-0.1078,0.0061,0.004,0.0411,0.9886
500,1,0,0,0,0.0001,0.9998,0.0129,-0.0125,0.0047,-0.0171,0.9942,-0.1031,0.0062,0.0033,0.0392,0.9888
500,1,0,0,0,0.0001,0.9998,0.0128,-0.0134,0.0053,-0.017,0.9935,-0.1033,0.0058,0.0033,0.04,0.9892
500,1,0,0,0,0.0001,0.9998,0.0132,-0.0146,0.0055,-0.017,0.9934,-0.1033,0.0056,0.0039,0.0406,0.9895
500,1,0,0,0,0.0001,0.9997,0.0119,-0.0146,0.0071,-0.0174,0.9918,-0.1056,0.0058,0.0035,0.0399,0.9892
500,1,0,0,0,0.0001,0.9998,0.0124,-0.0138,0.0051,-0.0163,0.9938,-0.1031,0.0061,0.0034,0.0398,0.9889